time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 20:49:56 2021,-3.1,-4.9,HD3025G_20W
Wed Dec 22 20:49:59 2021,-3.1,-4.9,HD3025G_20W
Wed Dec 22 20:50:02 2021,-3.2,-5.0,HD3025G_20W
Wed Dec 22 20:50:04 2021,-3.2,-5.0,HD3025G_20W
Wed Dec 22 20:50:06 2021,-3.3,-5.0,HD3025G_20W
Wed Dec 22 20:50:09 2021,-3.3,-5.1,HD3025G_20W
Wed Dec 22 20:50:11 2021,-3.3,-5.1,HD3025G_20W
Wed Dec 22 20:50:13 2021,-3.4,-5.1,HD3025G_20W
Wed Dec 22 20:50:15 2021,-3.4,-5.1,HD3025G_20W
Wed Dec 22 20:50:18 2021,-3.4,-5.1,HD3025G_20W
Wed Dec 22 20:50:20 2021,-3.5,-5.2,HD3025G_20W
Wed Dec 22 20:50:22 2021,-3.5,-5.2,HD3025G_20W
Wed Dec 22 20:50:25 2021,-3.6,-5.2,HD3025G_20W
Wed Dec 22 20:50:27 2021,-3.6,-5.2,HD3025G_20W
Wed Dec 22 20:50:29 2021,-3.6,-5.2,HD3025G_20W
Wed Dec 22 20:50:32 2021,-3.6,-5.3,HD3025G_20W
Wed Dec 22 20:50:34 2021,-3.7,-5.3,HD3025G_20W
Wed Dec 22 20:50:36 2021,-3.7,-5.3,HD3025G_20W
Wed Dec 22 20:50:39 2021,-3.7,-5.3,HD3025G_20W
Wed Dec 22 20:50:41 2021,-3.8,-5.3,HD3025G_20W
Wed Dec 22 20:50:43 2021,-3.8,-5.3,HD3025G_20W
Wed Dec 22 20:50:46 2021,-3.8,-5.4,HD3025G_20W
Wed Dec 22 20:50:48 2021,-3.9,-5.4,HD3025G_20W
Wed Dec 22 20:50:50 2021,-3.9,-5.4,HD3025G_20W
Wed Dec 22 20:50:53 2021,-3.9,-5.4,HD3025G_20W
Wed Dec 22 20:50:55 2021,-4.0,-5.4,HD3025G_20W
Wed Dec 22 20:50:57 2021,-4.0,-5.5,HD3025G_20W
Wed Dec 22 20:51:00 2021,-4.1,-5.5,HD3025G_20W
Wed Dec 22 20:51:02 2021,-4.1,-5.5,HD3025G_20W
Wed Dec 22 20:51:04 2021,-4.1,-5.5,HD3025G_20W
Wed Dec 22 20:51:07 2021,-4.1,-5.5,HD3025G_20W
Wed Dec 22 20:51:09 2021,-4.2,-5.5,HD3025G_20W
Wed Dec 22 20:51:11 2021,-4.2,-5.6,HD3025G_20W
Wed Dec 22 20:51:13 2021,-4.2,-5.6,HD3025G_20W
Wed Dec 22 20:51:16 2021,-4.3,-5.6,HD3025G_20W
Wed Dec 22 20:51:18 2021,-4.3,-5.6,HD3025G_20W
Wed Dec 22 20:51:21 2021,-4.3,-5.6,HD3025G_20W
Wed Dec 22 20:51:23 2021,-4.4,-5.7,HD3025G_20W
Wed Dec 22 20:51:25 2021,-4.4,-5.7,HD3025G_20W
Wed Dec 22 20:51:28 2021,-4.4,-5.7,HD3025G_20W
Wed Dec 22 20:51:31 2021,-4.4,-5.7,HD3025G_20W
Wed Dec 22 20:51:33 2021,-4.4,-5.7,HD3025G_20W
Wed Dec 22 20:51:35 2021,-4.5,-5.7,HD3025G_20W
Wed Dec 22 20:51:37 2021,-4.5,-5.7,HD3025G_20W
Wed Dec 22 20:51:40 2021,-4.5,-5.8,HD3025G_20W
Wed Dec 22 20:51:42 2021,-4.5,-5.8,HD3025G_20W
Wed Dec 22 20:51:45 2021,-4.6,-5.8,HD3025G_20W
Wed Dec 22 20:51:47 2021,-4.6,-5.8,HD3025G_20W
Wed Dec 22 20:51:50 2021,-4.6,-5.8,HD3025G_20W
Wed Dec 22 20:51:52 2021,-4.6,-5.8,HD3025G_20W
Wed Dec 22 20:51:55 2021,-4.6,-5.8,HD3025G_20W
Wed Dec 22 20:51:58 2021,-4.7,-5.8,HD3025G_20W
Wed Dec 22 20:52:00 2021,-4.7,-5.8,HD3025G_20W
Wed Dec 22 20:52:03 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:05 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:07 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:10 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:12 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:14 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:16 2021,-4.7,-5.9,HD3025G_20W
Wed Dec 22 20:52:18 2021,-4.8,-5.9,HD3025G_20W
Wed Dec 22 20:52:21 2021,-4.8,-5.9,HD3025G_20W
Wed Dec 22 20:52:23 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:25 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:27 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:30 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:33 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:35 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:38 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:40 2021,-4.8,-6.0,HD3025G_20W
Wed Dec 22 20:52:43 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:45 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:47 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:50 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:52 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:55 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:57 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:52:59 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:53:02 2021,-4.8,-6.1,HD3025G_20W
Wed Dec 22 20:53:04 2021,-4.7,-6.1,HD3025G_20W
Wed Dec 22 20:53:07 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:09 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:11 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:14 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:16 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:18 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:21 2021,-4.7,-6.2,HD3025G_20W
Wed Dec 22 20:53:23 2021,-4.6,-6.2,HD3025G_20W
Wed Dec 22 20:53:25 2021,-4.6,-6.2,HD3025G_20W
Wed Dec 22 20:53:28 2021,-4.6,-6.2,HD3025G_20W
Wed Dec 22 20:53:30 2021,-4.6,-6.3,HD3025G_20W
Wed Dec 22 20:53:32 2021,-4.5,-6.3,HD3025G_20W
Wed Dec 22 20:53:35 2021,-4.6,-6.3,HD3025G_20W
Wed Dec 22 20:53:37 2021,-4.6,-6.3,HD3025G_20W
Wed Dec 22 20:53:39 2021,-4.5,-6.3,HD3025G_20W
Wed Dec 22 20:53:42 2021,-4.5,-6.3,HD3025G_20W
Wed Dec 22 20:53:45 2021,-4.5,-6.3,HD3025G_20W
Wed Dec 22 20:53:47 2021,-4.5,-6.3,HD3025G_20W
Wed Dec 22 20:53:49 2021,-4.4,-6.3,HD3025G_20W
Wed Dec 22 20:53:52 2021,-4.4,-6.3,HD3025G_20W
Wed Dec 22 20:53:54 2021,-4.4,-6.3,HD3025G_20W
Wed Dec 22 20:53:56 2021,-4.4,-6.4,HD3025G_20W
Wed Dec 22 20:53:58 2021,-4.4,-6.4,HD3025G_20W
Wed Dec 22 20:54:01 2021,-4.4,-6.4,HD3025G_20W
Wed Dec 22 20:54:03 2021,-4.3,-6.4,HD3025G_20W
Wed Dec 22 20:54:05 2021,-4.3,-6.4,HD3025G_20W
Wed Dec 22 20:54:08 2021,-4.3,-6.4,HD3025G_20W
Wed Dec 22 20:54:10 2021,-4.3,-6.4,HD3025G_20W
Wed Dec 22 20:54:12 2021,-4.2,-6.4,HD3025G_20W
Wed Dec 22 20:54:14 2021,-4.2,-6.4,HD3025G_20W
Wed Dec 22 20:54:16 2021,-4.2,-6.4,HD3025G_20W
Wed Dec 22 20:54:19 2021,-4.1,-6.4,HD3025G_20W
Wed Dec 22 20:54:21 2021,-4.1,-6.4,HD3025G_20W
Wed Dec 22 20:54:23 2021,-4.1,-6.4,HD3025G_20W
Wed Dec 22 20:54:26 2021,-4.1,-6.4,HD3025G_20W
Wed Dec 22 20:54:28 2021,-4.0,-6.4,HD3025G_20W
Wed Dec 22 20:54:30 2021,-4.0,-6.4,HD3025G_20W
Wed Dec 22 20:54:32 2021,-4.0,-6.4,HD3025G_20W
Wed Dec 22 20:54:34 2021,-3.9,-6.4,HD3025G_20W
Wed Dec 22 20:54:37 2021,-3.9,-6.4,HD3025G_20W
Wed Dec 22 20:54:39 2021,-3.9,-6.4,HD3025G_20W
Wed Dec 22 20:54:41 2021,-3.9,-6.4,HD3025G_20W
Wed Dec 22 20:54:43 2021,-3.9,-6.4,HD3025G_20W
Wed Dec 22 20:54:46 2021,-3.8,-6.4,HD3025G_20W
Wed Dec 22 20:54:48 2021,-3.8,-6.4,HD3025G_20W
Wed Dec 22 20:54:50 2021,-3.7,-6.4,HD3025G_20W
Wed Dec 22 20:54:52 2021,-3.7,-6.5,HD3025G_20W
Wed Dec 22 20:54:54 2021,-3.7,-6.4,HD3025G_20W
Wed Dec 22 20:54:57 2021,-3.6,-6.4,HD3025G_20W
Wed Dec 22 20:54:59 2021,-3.7,-6.5,HD3025G_20W
Wed Dec 22 20:55:01 2021,-3.6,-6.5,HD3025G_20W
Wed Dec 22 20:55:03 2021,-3.6,-6.5,HD3025G_20W
Wed Dec 22 20:55:06 2021,-3.6,-6.5,HD3025G_20W
Wed Dec 22 20:55:08 2021,-3.5,-6.5,HD3025G_20W
Wed Dec 22 20:55:10 2021,-3.5,-6.4,HD3025G_20W
Wed Dec 22 20:55:12 2021,-3.5,-6.5,HD3025G_20W
Wed Dec 22 20:55:15 2021,-3.4,-6.5,HD3025G_20W
Wed Dec 22 20:55:17 2021,-3.4,-6.5,HD3025G_20W
Wed Dec 22 20:55:19 2021,-3.4,-6.5,HD3025G_20W
Wed Dec 22 20:55:21 2021,-3.3,-6.5,HD3025G_20W
Wed Dec 22 20:55:24 2021,-3.3,-6.5,HD3025G_20W
Wed Dec 22 20:55:26 2021,-3.3,-6.5,HD3025G_20W
Wed Dec 22 20:55:28 2021,-3.2,-6.5,HD3025G_20W
Wed Dec 22 20:55:30 2021,-3.2,-6.5,HD3025G_20W
Wed Dec 22 20:55:32 2021,-3.2,-6.5,HD3025G_20W
Wed Dec 22 20:55:35 2021,-3.2,-6.5,HD3025G_20W
Wed Dec 22 20:55:37 2021,-3.1,-6.5,HD3025G_20W
Wed Dec 22 20:55:40 2021,-3.1,-6.5,HD3025G_20W
Wed Dec 22 20:55:42 2021,-3.0,-6.5,HD3025G_20W
Wed Dec 22 20:55:44 2021,-3.0,-6.5,HD3025G_20W
Wed Dec 22 20:55:48 2021,-3.0,-6.5,HD3025G_20W
Wed Dec 22 20:55:50 2021,-2.9,-6.5,HD3025G_20W
Wed Dec 22 20:55:52 2021,-2.8,-6.5,HD3025G_20W
Wed Dec 22 20:55:54 2021,-2.9,-6.5,HD3025G_20W
Wed Dec 22 20:55:56 2021,-2.8,-6.5,HD3025G_20W
Wed Dec 22 20:55:59 2021,-2.8,-6.5,HD3025G_20W
Wed Dec 22 20:56:01 2021,-2.8,-6.5,HD3025G_20W
Wed Dec 22 20:56:05 2021,-2.8,-6.5,HD3025G_20W
Wed Dec 22 20:56:07 2021,-2.6,-6.5,HD3025G_20W
Wed Dec 22 20:56:09 2021,-2.6,-6.5,HD3025G_20W
Wed Dec 22 20:56:11 2021,-2.6,-6.5,HD3025G_20W
Wed Dec 22 20:56:13 2021,-2.5,-6.5,HD3025G_20W
Wed Dec 22 20:56:16 2021,-2.5,-6.5,HD3025G_20W
Wed Dec 22 20:56:18 2021,-2.5,-6.5,HD3025G_20W
Wed Dec 22 20:56:20 2021,-2.4,-6.5,HD3025G_20W
Wed Dec 22 20:56:22 2021,-2.4,-6.5,HD3025G_20W
Wed Dec 22 20:56:24 2021,-2.4,-6.5,HD3025G_20W
Wed Dec 22 20:56:27 2021,-2.4,-6.5,HD3025G_20W
Wed Dec 22 20:56:30 2021,-2.4,-6.5,HD3025G_20W
Wed Dec 22 20:56:33 2021,-2.2,-6.5,HD3025G_20W
Wed Dec 22 20:56:35 2021,-2.2,-6.5,HD3025G_20W
Wed Dec 22 20:56:37 2021,-2.1,-6.5,HD3025G_20W
Wed Dec 22 20:56:40 2021,-2.1,-6.5,HD3025G_20W
Wed Dec 22 20:56:42 2021,-2.1,-6.6,HD3025G_20W
Wed Dec 22 20:56:44 2021,-2.0,-6.5,HD3025G_20W
Wed Dec 22 20:56:46 2021,-2.0,-6.6,HD3025G_20W
Wed Dec 22 20:56:48 2021,-2.0,-6.6,HD3025G_20W
Wed Dec 22 20:56:51 2021,-1.9,-6.6,HD3025G_20W
Wed Dec 22 20:56:53 2021,-1.9,-6.6,HD3025G_20W
Wed Dec 22 20:56:55 2021,-1.8,-6.6,HD3025G_20W
Wed Dec 22 20:56:57 2021,-1.8,-6.6,HD3025G_20W
Wed Dec 22 20:56:59 2021,-1.8,-6.6,HD3025G_20W
Wed Dec 22 20:57:02 2021,-1.8,-6.6,HD3025G_20W
Wed Dec 22 20:57:04 2021,-1.7,-6.6,HD3025G_20W
Wed Dec 22 20:57:06 2021,-1.7,-6.6,HD3025G_20W
Wed Dec 22 20:57:08 2021,-1.6,-6.6,HD3025G_20W
Wed Dec 22 20:57:11 2021,-1.6,-6.6,HD3025G_20W
Wed Dec 22 20:57:13 2021,-1.6,-6.6,HD3025G_20W
Wed Dec 22 20:57:15 2021,-1.5,-6.6,HD3025G_20W
Wed Dec 22 20:57:17 2021,-1.5,-6.6,HD3025G_20W
Wed Dec 22 20:57:19 2021,-1.4,-6.6,HD3025G_20W
Wed Dec 22 20:57:22 2021,-1.4,-6.6,HD3025G_20W
Wed Dec 22 20:57:24 2021,-1.4,-6.6,HD3025G_20W
Wed Dec 22 20:57:26 2021,-1.3,-6.6,HD3025G_20W
Wed Dec 22 20:57:28 2021,-1.3,-6.6,HD3025G_20W
Wed Dec 22 20:57:30 2021,-1.2,-6.6,HD3025G_20W
Wed Dec 22 20:57:33 2021,-1.2,-6.6,HD3025G_20W
