time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 22:14:29 2021,-6.7,-7.2,HD3025G_30W
Wed Dec 22 22:14:32 2021,-6.7,-7.2,HD3025G_30W
Wed Dec 22 22:14:34 2021,-6.7,-7.2,HD3025G_30W
Wed Dec 22 22:14:37 2021,-6.7,-7.2,HD3025G_30W
Wed Dec 22 22:14:39 2021,-6.7,-7.2,HD3025G_30W
Wed Dec 22 22:14:41 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:43 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:45 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:48 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:50 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:52 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:54 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:57 2021,-6.6,-7.2,HD3025G_30W
Wed Dec 22 22:14:59 2021,-6.5,-7.2,HD3025G_30W
Wed Dec 22 22:15:02 2021,-6.5,-7.2,HD3025G_30W
Wed Dec 22 22:15:04 2021,-6.5,-7.2,HD3025G_30W
Wed Dec 22 22:15:06 2021,-6.5,-7.2,HD3025G_30W
Wed Dec 22 22:15:08 2021,-6.5,-7.2,HD3025G_30W
Wed Dec 22 22:15:11 2021,-6.4,-7.2,HD3025G_30W
Wed Dec 22 22:15:13 2021,-6.4,-7.2,HD3025G_30W
Wed Dec 22 22:15:16 2021,-6.4,-7.2,HD3025G_30W
Wed Dec 22 22:15:18 2021,-6.4,-7.2,HD3025G_30W
Wed Dec 22 22:15:21 2021,-6.3,-7.2,HD3025G_30W
Wed Dec 22 22:15:23 2021,-6.3,-7.2,HD3025G_30W
Wed Dec 22 22:15:25 2021,-6.3,-7.2,HD3025G_30W
Wed Dec 22 22:15:27 2021,-6.2,-7.2,HD3025G_30W
Wed Dec 22 22:15:29 2021,-6.2,-7.2,HD3025G_30W
Wed Dec 22 22:15:33 2021,-6.2,-7.2,HD3025G_30W
Wed Dec 22 22:15:35 2021,-6.2,-7.2,HD3025G_30W
Wed Dec 22 22:15:37 2021,-6.2,-7.3,HD3025G_30W
Wed Dec 22 22:15:40 2021,-6.1,-7.2,HD3025G_30W
Wed Dec 22 22:15:42 2021,-6.1,-7.3,HD3025G_30W
Wed Dec 22 22:15:44 2021,-6.0,-7.2,HD3025G_30W
Wed Dec 22 22:15:47 2021,-6.0,-7.2,HD3025G_30W
Wed Dec 22 22:15:49 2021,-5.9,-7.3,HD3025G_30W
Wed Dec 22 22:15:52 2021,-5.9,-7.3,HD3025G_30W
Wed Dec 22 22:15:54 2021,-5.8,-7.2,HD3025G_30W
Wed Dec 22 22:15:56 2021,-5.8,-7.3,HD3025G_30W
Wed Dec 22 22:15:58 2021,-5.7,-7.2,HD3025G_30W
Wed Dec 22 22:16:01 2021,-5.7,-7.3,HD3025G_30W
Wed Dec 22 22:16:03 2021,-5.7,-7.3,HD3025G_30W
Wed Dec 22 22:16:05 2021,-5.7,-7.3,HD3025G_30W
Wed Dec 22 22:16:08 2021,-5.7,-7.3,HD3025G_30W
Wed Dec 22 22:16:10 2021,-5.6,-7.3,HD3025G_30W
Wed Dec 22 22:16:13 2021,-5.5,-7.3,HD3025G_30W
Wed Dec 22 22:16:15 2021,-5.4,-7.3,HD3025G_30W
Wed Dec 22 22:16:17 2021,-5.4,-7.3,HD3025G_30W
Wed Dec 22 22:16:19 2021,-5.4,-7.3,HD3025G_30W
Wed Dec 22 22:16:21 2021,-5.3,-7.3,HD3025G_30W
Wed Dec 22 22:16:24 2021,-5.3,-7.3,HD3025G_30W
Wed Dec 22 22:16:26 2021,-5.2,-7.3,HD3025G_30W
Wed Dec 22 22:16:28 2021,-5.1,-7.2,HD3025G_30W
Wed Dec 22 22:16:31 2021,-5.1,-7.3,HD3025G_30W
Wed Dec 22 22:16:33 2021,-5.1,-7.3,HD3025G_30W
Wed Dec 22 22:16:35 2021,-5.0,-7.3,HD3025G_30W
Wed Dec 22 22:16:37 2021,-5.0,-7.3,HD3025G_30W
Wed Dec 22 22:16:40 2021,-5.0,-7.3,HD3025G_30W
Wed Dec 22 22:16:43 2021,-4.9,-7.3,HD3025G_30W
Wed Dec 22 22:16:45 2021,-4.9,-7.3,HD3025G_30W
Wed Dec 22 22:16:48 2021,-4.7,-7.3,HD3025G_30W
Wed Dec 22 22:16:50 2021,-4.7,-7.3,HD3025G_30W
Wed Dec 22 22:16:52 2021,-4.6,-7.3,HD3025G_30W
Wed Dec 22 22:16:54 2021,-4.6,-7.3,HD3025G_30W
Wed Dec 22 22:16:56 2021,-4.6,-7.3,HD3025G_30W
Wed Dec 22 22:16:59 2021,-4.5,-7.3,HD3025G_30W
Wed Dec 22 22:17:01 2021,-4.4,-7.3,HD3025G_30W
Wed Dec 22 22:17:04 2021,-4.4,-7.3,HD3025G_30W
Wed Dec 22 22:17:07 2021,-4.4,-7.3,HD3025G_30W
Wed Dec 22 22:17:09 2021,-4.3,-7.3,HD3025G_30W
Wed Dec 22 22:17:13 2021,-4.3,-7.3,HD3025G_30W
Wed Dec 22 22:17:15 2021,-4.1,-7.3,HD3025G_30W
Wed Dec 22 22:17:18 2021,-4.1,-7.3,HD3025G_30W
Wed Dec 22 22:17:20 2021,-4.0,-7.3,HD3025G_30W
Wed Dec 22 22:17:22 2021,-3.9,-7.3,HD3025G_30W
Wed Dec 22 22:17:25 2021,-3.8,-7.3,HD3025G_30W
Wed Dec 22 22:17:27 2021,-3.8,-7.3,HD3025G_30W
Wed Dec 22 22:17:29 2021,-3.7,-7.3,HD3025G_30W
Wed Dec 22 22:17:31 2021,-3.7,-7.3,HD3025G_30W
Wed Dec 22 22:17:34 2021,-3.6,-7.3,HD3025G_30W
Wed Dec 22 22:17:36 2021,-3.6,-7.3,HD3025G_30W
Wed Dec 22 22:17:38 2021,-3.5,-7.3,HD3025G_30W
Wed Dec 22 22:17:40 2021,-3.5,-7.3,HD3025G_30W
Wed Dec 22 22:17:43 2021,-3.5,-7.3,HD3025G_30W
Wed Dec 22 22:17:45 2021,-3.3,-7.3,HD3025G_30W
Wed Dec 22 22:17:48 2021,-3.3,-7.3,HD3025G_30W
Wed Dec 22 22:17:50 2021,-3.2,-7.3,HD3025G_30W
Wed Dec 22 22:17:53 2021,-3.2,-7.3,HD3025G_30W
Wed Dec 22 22:17:55 2021,-3.0,-7.3,HD3025G_30W
Wed Dec 22 22:17:57 2021,-3.0,-7.3,HD3025G_30W
Wed Dec 22 22:18:00 2021,-3.0,-7.3,HD3025G_30W
Wed Dec 22 22:18:02 2021,-2.9,-7.3,HD3025G_30W
Wed Dec 22 22:18:06 2021,-2.9,-7.3,HD3025G_30W
Wed Dec 22 22:18:08 2021,-2.7,-7.4,HD3025G_30W
Wed Dec 22 22:18:10 2021,-2.6,-7.3,HD3025G_30W
Wed Dec 22 22:18:12 2021,-2.5,-7.4,HD3025G_30W
Wed Dec 22 22:18:16 2021,-2.5,-7.4,HD3025G_30W
Wed Dec 22 22:18:18 2021,-2.4,-7.3,HD3025G_30W
Wed Dec 22 22:18:20 2021,-2.3,-7.4,HD3025G_30W
Wed Dec 22 22:18:23 2021,-2.3,-7.4,HD3025G_30W
Wed Dec 22 22:18:25 2021,-2.2,-7.3,HD3025G_30W
Wed Dec 22 22:18:28 2021,-2.2,-7.3,HD3025G_30W
Wed Dec 22 22:18:30 2021,-2.1,-7.4,HD3025G_30W
Wed Dec 22 22:18:32 2021,-2.0,-7.4,HD3025G_30W
