TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr 16 23:20:48 2022,8.3,17.4,False,True
Sat Apr 16 23:21:18 2022,8.3,17.4,False,True
Sat Apr 16 23:21:48 2022,8.4,17.4,False,True
Sat Apr 16 23:22:18 2022,8.4,17.5,False,True
Sat Apr 16 23:22:48 2022,8.4,17.5,False,True
Sat Apr 16 23:23:18 2022,8.4,17.5,False,True
Sat Apr 16 23:23:48 2022,8.4,17.6,False,True
Sat Apr 16 23:24:18 2022,8.4,17.6,False,True
Sat Apr 16 23:24:48 2022,8.3,17.7,False,True
Sat Apr 16 23:25:18 2022,8.3,17.7,False,True
Sat Apr 16 23:25:48 2022,8.3,17.7,False,True
Sat Apr 16 23:26:18 2022,8.3,17.8,False,True
Sat Apr 16 23:26:48 2022,8.3,17.8,False,True
Sat Apr 16 23:27:18 2022,8.3,17.8,False,True
Sat Apr 16 23:27:48 2022,8.3,17.8,False,True
Sat Apr 16 23:28:18 2022,8.3,17.9,False,True
Sat Apr 16 23:28:48 2022,8.3,17.9,False,True
Sat Apr 16 23:29:18 2022,8.2,17.9,False,True
Sat Apr 16 23:29:48 2022,8.2,18.0,False,True
Sat Apr 16 23:30:18 2022,8.2,18.0,False,True
Sat Apr 16 23:30:48 2022,8.2,18.0,False,True
Sat Apr 16 23:31:18 2022,8.2,18.1,False,True
Sat Apr 16 23:31:48 2022,8.2,18.1,False,True
Sat Apr 16 23:32:18 2022,8.2,18.1,False,True
Sat Apr 16 23:32:48 2022,8.3,18.1,False,True
Sat Apr 16 23:33:18 2022,8.3,18.2,False,True
Sat Apr 16 23:33:48 2022,8.3,18.2,False,True
Sat Apr 16 23:34:18 2022,8.3,18.2,False,True
Sat Apr 16 23:34:48 2022,8.3,18.2,False,True
Sat Apr 16 23:35:18 2022,8.3,18.3,False,True
Sat Apr 16 23:35:48 2022,8.2,18.3,False,True
Sat Apr 16 23:36:18 2022,8.2,18.3,False,True
Sat Apr 16 23:36:48 2022,8.2,18.4,False,True
Sat Apr 16 23:37:18 2022,8.2,18.4,False,True
Sat Apr 16 23:37:48 2022,8.2,18.4,False,True
Sat Apr 16 23:38:18 2022,8.2,18.4,False,True
Sat Apr 16 23:38:48 2022,8.2,18.4,False,True
Sat Apr 16 23:39:18 2022,8.2,18.5,False,True
Sat Apr 16 23:39:48 2022,8.2,18.5,False,True
Sat Apr 16 23:40:18 2022,8.2,18.5,False,True
Sat Apr 16 23:40:48 2022,8.2,18.6,False,True
Sat Apr 16 23:41:18 2022,8.2,18.6,False,True
Sat Apr 16 23:41:48 2022,8.2,18.6,False,True
Sat Apr 16 23:42:18 2022,8.1,18.6,False,True
Sat Apr 16 23:42:48 2022,8.1,18.7,False,True
Sat Apr 16 23:43:18 2022,8.1,18.7,False,True
Sat Apr 16 23:43:48 2022,8.2,18.7,False,True
Sat Apr 16 23:44:18 2022,8.2,18.7,False,True
Sat Apr 16 23:44:48 2022,8.1,18.8,False,True
Sat Apr 16 23:45:18 2022,8.2,18.8,False,True
Sat Apr 16 23:45:48 2022,8.1,18.8,False,True
Sat Apr 16 23:46:18 2022,8.1,18.8,False,True
Sat Apr 16 23:46:48 2022,8.1,18.9,False,True
Sat Apr 16 23:47:18 2022,8.1,18.9,False,True
Sat Apr 16 23:47:48 2022,8.1,18.9,False,True
Sat Apr 16 23:48:18 2022,8.1,18.9,False,True
Sat Apr 16 23:48:48 2022,8.0,19.0,False,True
Sat Apr 16 23:49:18 2022,8.1,19.0,False,True
Sat Apr 16 23:49:48 2022,8.1,19.0,False,True
Sat Apr 16 23:50:18 2022,8.1,19.0,False,True
Sat Apr 16 23:50:48 2022,8.0,19.0,False,True
Sat Apr 16 23:51:18 2022,8.0,19.1,False,True
Sat Apr 16 23:51:48 2022,8.0,19.1,False,True
Sat Apr 16 23:52:18 2022,8.0,19.1,False,True
Sat Apr 16 23:52:48 2022,8.0,19.1,False,True
Sat Apr 16 23:53:18 2022,8.0,19.2,False,True
Sat Apr 16 23:53:48 2022,8.0,19.2,False,True
Sat Apr 16 23:54:18 2022,7.9,19.2,False,True
Sat Apr 16 23:54:48 2022,7.9,19.2,False,True
Sat Apr 16 23:55:18 2022,7.9,19.2,False,True
Sat Apr 16 23:55:48 2022,7.9,19.3,False,True
Sat Apr 16 23:56:18 2022,7.8,19.3,False,True
Sat Apr 16 23:56:48 2022,7.8,19.3,False,True
Sat Apr 16 23:57:18 2022,7.8,19.3,False,True
Sat Apr 16 23:57:48 2022,7.8,19.3,False,True
Sat Apr 16 23:58:18 2022,7.8,19.4,False,True
Sat Apr 16 23:58:48 2022,7.8,19.4,False,True
Sat Apr 16 23:59:18 2022,7.8,19.4,False,True
Sat Apr 16 23:59:48 2022,7.7,19.4,False,True
Sun Apr 17 00:00:18 2022,7.7,19.4,False,True
Sun Apr 17 00:00:48 2022,7.7,19.5,False,True
Sun Apr 17 00:01:18 2022,7.7,19.5,False,True
Sun Apr 17 00:01:48 2022,7.7,19.5,False,True
Sun Apr 17 00:02:18 2022,7.7,19.5,False,True
Sun Apr 17 00:02:48 2022,7.7,19.5,False,True
Sun Apr 17 00:03:18 2022,7.7,19.6,False,True
Sun Apr 17 00:03:48 2022,7.7,19.6,False,True
Sun Apr 17 00:04:18 2022,7.7,19.6,False,True
Sun Apr 17 00:04:48 2022,7.7,19.6,False,True
Sun Apr 17 00:05:18 2022,7.8,19.6,False,True
Sun Apr 17 00:05:48 2022,7.8,19.6,False,True
Sun Apr 17 00:06:18 2022,7.8,19.7,False,True
Sun Apr 17 00:06:48 2022,7.8,19.7,False,True
Sun Apr 17 00:07:18 2022,7.8,19.7,False,True
Sun Apr 17 00:07:48 2022,7.7,19.7,False,True
Sun Apr 17 00:08:18 2022,7.7,19.7,False,True
Sun Apr 17 00:08:48 2022,7.7,19.7,False,True
Sun Apr 17 00:09:18 2022,7.7,19.8,False,True
Sun Apr 17 00:09:48 2022,7.7,19.8,False,True
Sun Apr 17 00:10:18 2022,7.7,19.8,False,True
Sun Apr 17 00:10:48 2022,7.7,19.8,False,True
Sun Apr 17 00:11:18 2022,7.7,19.9,False,True
Sun Apr 17 00:11:48 2022,7.7,19.9,False,True
Sun Apr 17 00:12:18 2022,7.7,19.9,False,True
Sun Apr 17 00:12:48 2022,7.7,19.9,False,True
Sun Apr 17 00:13:18 2022,7.6,19.9,False,True
Sun Apr 17 00:13:48 2022,7.6,20.0,False,True
Sun Apr 17 00:14:18 2022,7.6,20.0,False,True
Sun Apr 17 00:14:48 2022,7.6,20.0,False,True
Sun Apr 17 00:15:18 2022,7.6,20.0,False,True
Sun Apr 17 00:15:48 2022,7.7,20.0,False,True
Sun Apr 17 00:16:18 2022,7.7,20.0,False,True
Sun Apr 17 00:16:48 2022,7.6,20.1,False,True
Sun Apr 17 00:17:18 2022,7.6,20.1,False,True
Sun Apr 17 00:17:48 2022,7.6,20.1,False,True
Sun Apr 17 00:18:18 2022,7.5,20.1,False,True
Sun Apr 17 00:18:48 2022,7.6,20.1,False,True
Sun Apr 17 00:19:18 2022,7.6,20.2,False,True
Sun Apr 17 00:19:48 2022,7.6,20.2,False,True
Sun Apr 17 00:20:18 2022,7.6,20.2,False,True
Sun Apr 17 00:20:48 2022,7.5,20.2,False,True
Sun Apr 17 00:21:18 2022,7.5,20.3,False,True
Sun Apr 17 00:21:48 2022,7.6,20.3,False,True
Sun Apr 17 00:22:18 2022,7.6,20.3,False,True
Sun Apr 17 00:22:48 2022,7.5,20.3,False,True
Sun Apr 17 00:23:18 2022,7.5,20.3,False,True
Sun Apr 17 00:23:48 2022,7.5,20.3,False,True
Sun Apr 17 00:24:18 2022,7.5,20.4,False,True
Sun Apr 17 00:24:48 2022,7.5,20.4,False,True
Sun Apr 17 00:25:18 2022,7.6,20.4,False,True
Sun Apr 17 00:25:48 2022,7.6,20.4,False,True
Sun Apr 17 00:26:18 2022,7.6,20.5,False,True
Sun Apr 17 00:26:48 2022,7.7,20.5,False,True
Sun Apr 17 00:27:18 2022,7.7,20.5,False,True
Sun Apr 17 00:27:48 2022,7.7,20.5,False,True
Sun Apr 17 00:28:18 2022,7.7,20.5,False,True
Sun Apr 17 00:28:48 2022,7.7,20.5,False,True
Sun Apr 17 00:29:18 2022,7.7,20.6,False,True
Sun Apr 17 00:29:48 2022,7.7,20.6,False,True
Sun Apr 17 00:30:18 2022,7.7,20.6,False,True
Sun Apr 17 00:30:48 2022,7.7,20.6,False,True
Sun Apr 17 00:31:18 2022,7.7,20.6,False,True
Sun Apr 17 00:31:48 2022,7.7,20.6,False,True
Sun Apr 17 00:32:18 2022,7.7,20.6,False,True
Sun Apr 17 00:32:48 2022,7.6,20.7,False,True
Sun Apr 17 00:33:18 2022,7.6,20.7,False,True
Sun Apr 17 00:33:48 2022,7.6,20.7,False,True
Sun Apr 17 00:34:18 2022,7.5,20.8,False,True
Sun Apr 17 00:34:48 2022,7.5,20.7,False,True
Sun Apr 17 00:35:18 2022,7.5,20.8,False,True
Sun Apr 17 00:35:48 2022,7.5,20.8,False,True
Sun Apr 17 00:36:18 2022,7.5,20.8,False,True
Sun Apr 17 00:36:48 2022,7.5,20.8,False,True
Sun Apr 17 00:37:18 2022,7.6,20.8,False,True
Sun Apr 17 00:37:48 2022,7.6,20.8,False,True
Sun Apr 17 00:38:18 2022,7.6,20.9,False,True
Sun Apr 17 00:38:48 2022,7.7,20.9,False,True
Sun Apr 17 00:39:18 2022,7.7,20.9,False,True
Sun Apr 17 00:39:48 2022,7.7,20.9,False,True
Sun Apr 17 00:40:18 2022,7.7,20.9,False,True
Sun Apr 17 00:40:48 2022,7.7,20.9,False,True
Sun Apr 17 00:41:18 2022,7.7,21.0,False,True
Sun Apr 17 00:41:48 2022,7.7,21.0,False,True
Sun Apr 17 00:42:18 2022,7.6,21.0,False,True
Sun Apr 17 00:42:48 2022,7.6,21.1,False,True
Sun Apr 17 00:43:18 2022,7.6,21.1,False,True
Sun Apr 17 00:43:48 2022,7.6,21.1,False,True
Sun Apr 17 00:44:18 2022,7.5,21.1,False,True
Sun Apr 17 00:44:48 2022,7.5,21.2,False,True
Sun Apr 17 00:45:18 2022,7.5,21.2,False,True
Sun Apr 17 00:45:48 2022,7.4,21.2,False,True
Sun Apr 17 00:46:18 2022,7.4,21.2,False,True
Sun Apr 17 00:46:48 2022,7.3,21.2,False,True
Sun Apr 17 00:48:59 2022,7.3,21.3,False,True
Sun Apr 17 00:49:31 2022,7.4,21.4,False,True
Sun Apr 17 00:50:01 2022,7.3,21.4,False,True
Sun Apr 17 00:50:31 2022,7.3,21.4,False,True
Sun Apr 17 00:51:01 2022,7.3,21.4,False,True
Sun Apr 17 00:51:31 2022,7.3,21.4,False,True
Sun Apr 17 00:52:01 2022,7.4,21.4,False,True
Sun Apr 17 00:52:31 2022,7.4,21.4,False,True
Sun Apr 17 00:53:01 2022,7.4,21.4,False,True
Sun Apr 17 00:53:31 2022,7.4,21.4,False,True
Sun Apr 17 00:54:01 2022,7.4,21.4,False,True
Sun Apr 17 00:54:31 2022,7.4,21.4,False,True
Sun Apr 17 00:55:01 2022,7.4,21.5,False,True
Sun Apr 17 00:55:31 2022,7.3,21.5,False,True
Sun Apr 17 00:56:01 2022,7.3,21.5,False,True
Sun Apr 17 00:56:31 2022,7.3,21.5,False,True
Sun Apr 17 00:57:01 2022,7.3,21.5,False,True
Sun Apr 17 00:57:31 2022,7.3,21.5,False,True
Sun Apr 17 00:58:01 2022,7.3,21.5,False,True
Sun Apr 17 00:58:31 2022,7.3,21.5,False,True
Sun Apr 17 00:59:01 2022,7.3,21.5,False,True
Sun Apr 17 00:59:31 2022,7.3,21.6,False,True
Sun Apr 17 01:00:01 2022,7.3,21.6,False,True
Sun Apr 17 01:00:31 2022,7.3,21.6,False,True
Sun Apr 17 01:01:01 2022,7.3,21.6,False,True
Sun Apr 17 01:01:31 2022,7.4,21.6,False,True
Sun Apr 17 01:02:01 2022,7.4,21.6,False,True
Sun Apr 17 01:02:31 2022,7.4,21.6,False,True
Sun Apr 17 01:03:01 2022,7.4,21.6,False,True
Sun Apr 17 01:03:31 2022,7.4,21.6,False,True
Sun Apr 17 01:04:01 2022,7.4,21.6,False,True
Sun Apr 17 01:04:31 2022,7.4,21.6,False,True
Sun Apr 17 01:05:01 2022,7.4,21.7,False,True
Sun Apr 17 01:05:31 2022,7.4,21.7,False,True
Sun Apr 17 01:06:01 2022,7.4,21.7,False,True
Sun Apr 17 01:06:31 2022,7.4,21.7,False,True
Sun Apr 17 01:07:01 2022,7.4,21.8,False,True
Sun Apr 17 01:07:31 2022,7.4,21.8,False,True
Sun Apr 17 01:08:01 2022,7.4,21.8,False,True
Sun Apr 17 01:08:31 2022,7.3,21.8,False,True
Sun Apr 17 01:09:01 2022,7.3,21.8,False,True
Sun Apr 17 01:09:31 2022,7.3,21.8,False,True
Sun Apr 17 01:10:01 2022,7.3,21.8,False,True
Sun Apr 17 01:10:31 2022,7.3,21.8,False,True
Sun Apr 17 01:11:01 2022,7.2,21.8,False,True
Sun Apr 17 01:11:31 2022,7.3,21.8,False,True
Sun Apr 17 01:12:01 2022,7.2,21.8,False,True
Sun Apr 17 01:12:31 2022,7.2,21.8,False,True
Sun Apr 17 01:13:01 2022,7.3,21.9,False,True
Sun Apr 17 01:13:31 2022,7.3,21.9,False,True
Sun Apr 17 01:14:01 2022,7.3,21.9,False,True
Sun Apr 17 01:14:31 2022,7.3,21.9,False,True
Sun Apr 17 01:15:01 2022,7.3,21.9,False,True
Sun Apr 17 01:15:31 2022,7.3,21.9,False,True
Sun Apr 17 01:16:01 2022,7.3,22.0,False,True
Sun Apr 17 01:16:31 2022,7.3,22.0,False,True
Sun Apr 17 01:17:01 2022,7.3,22.0,False,True
Sun Apr 17 01:17:31 2022,7.3,22.0,False,True
Sun Apr 17 01:18:01 2022,7.3,22.1,False,True
Sun Apr 17 01:18:31 2022,7.3,22.1,False,True
Sun Apr 17 01:19:01 2022,7.3,22.1,False,True
Sun Apr 17 01:19:31 2022,7.3,22.1,False,True
Sun Apr 17 01:20:01 2022,7.3,22.1,False,True
Sun Apr 17 01:20:31 2022,7.3,22.2,False,True
Sun Apr 17 01:21:01 2022,7.2,22.2,False,True
Sun Apr 17 01:21:31 2022,7.3,22.2,False,True
Sun Apr 17 01:22:01 2022,7.3,22.2,False,True
Sun Apr 17 01:22:31 2022,7.2,22.2,False,True
Sun Apr 17 01:23:01 2022,7.2,22.2,False,True
Sun Apr 17 01:23:31 2022,7.2,22.2,False,True
Sun Apr 17 01:24:01 2022,7.3,22.2,False,True
Sun Apr 17 01:24:31 2022,7.2,22.3,False,True
Sun Apr 17 01:25:01 2022,7.3,22.3,False,True
Sun Apr 17 01:25:31 2022,7.3,22.3,False,True
Sun Apr 17 01:26:01 2022,7.3,22.3,False,True
Sun Apr 17 01:26:31 2022,7.3,22.3,False,True
Sun Apr 17 01:27:01 2022,7.3,22.3,False,True
Sun Apr 17 01:27:31 2022,7.3,22.4,False,True
Sun Apr 17 01:28:01 2022,7.3,22.4,False,True
Sun Apr 17 01:28:31 2022,7.3,22.4,False,True
Sun Apr 17 01:29:01 2022,7.3,22.4,False,True
Sun Apr 17 01:29:31 2022,7.3,22.4,False,True
Sun Apr 17 01:30:01 2022,7.4,22.4,False,True
Sun Apr 17 01:30:31 2022,7.4,22.4,False,True
Sun Apr 17 01:31:01 2022,7.3,22.4,False,True
Sun Apr 17 01:31:31 2022,7.2,22.4,False,True
Sun Apr 17 01:32:01 2022,7.3,22.4,False,True
Sun Apr 17 01:32:31 2022,7.2,22.3,False,True
