time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 19:22:10 2021,-4.4,-4.6,HD3025G_30W
Wed Dec 22 19:22:12 2021,-4.9,-5.2,HD3025G_30W
Wed Dec 22 19:22:14 2021,-4.9,-5.3,HD3025G_30W
Wed Dec 22 19:22:16 2021,-5.0,-5.3,HD3025G_30W
Wed Dec 22 19:22:19 2021,-5.0,-5.3,HD3025G_30W
Wed Dec 22 19:22:21 2021,-5.0,-5.3,HD3025G_30W
Wed Dec 22 19:22:23 2021,-4.9,-5.3,HD3025G_30W
Wed Dec 22 19:22:25 2021,-4.9,-5.3,HD3025G_30W
Wed Dec 22 19:22:27 2021,-4.9,-5.4,HD3025G_30W
Wed Dec 22 19:22:30 2021,-4.9,-5.4,HD3025G_30W
Wed Dec 22 19:22:32 2021,-4.9,-5.4,HD3025G_30W
Wed Dec 22 19:22:34 2021,-4.8,-5.4,HD3025G_30W
Wed Dec 22 19:22:37 2021,-4.8,-5.4,HD3025G_30W
Wed Dec 22 19:22:39 2021,-4.8,-5.4,HD3025G_30W
Wed Dec 22 19:22:42 2021,-4.8,-5.4,HD3025G_30W
Wed Dec 22 19:22:44 2021,-4.8,-5.4,HD3025G_30W
Wed Dec 22 19:22:46 2021,-4.7,-5.4,HD3025G_30W
Wed Dec 22 19:22:48 2021,-4.7,-5.4,HD3025G_30W
Wed Dec 22 19:22:50 2021,-4.7,-5.5,HD3025G_30W
Wed Dec 22 19:22:53 2021,-4.7,-5.4,HD3025G_30W
Wed Dec 22 19:22:55 2021,-4.7,-5.5,HD3025G_30W
Wed Dec 22 19:22:58 2021,-4.6,-5.5,HD3025G_30W
Wed Dec 22 19:23:00 2021,-4.6,-5.5,HD3025G_30W
Wed Dec 22 19:23:02 2021,-4.6,-5.5,HD3025G_30W
Wed Dec 22 19:23:05 2021,-4.6,-5.5,HD3025G_30W
Wed Dec 22 19:23:07 2021,-4.5,-5.5,HD3025G_30W
Wed Dec 22 19:23:10 2021,-4.4,-5.5,HD3025G_30W
Wed Dec 22 19:23:12 2021,-4.4,-5.5,HD3025G_30W
Wed Dec 22 19:23:14 2021,-4.4,-5.5,HD3025G_30W
Wed Dec 22 19:23:18 2021,-4.4,-5.5,HD3025G_30W
Wed Dec 22 19:23:20 2021,-4.3,-5.5,HD3025G_30W
Wed Dec 22 19:23:23 2021,-4.3,-5.5,HD3025G_30W
Wed Dec 22 19:23:26 2021,-4.3,-5.5,HD3025G_30W
Wed Dec 22 19:23:28 2021,-4.1,-5.5,HD3025G_30W
Wed Dec 22 19:23:31 2021,-4.1,-5.5,HD3025G_30W
Wed Dec 22 19:23:33 2021,-4.0,-5.5,HD3025G_30W
Wed Dec 22 19:23:36 2021,-4.0,-5.5,HD3025G_30W
Wed Dec 22 19:23:38 2021,-4.0,-5.6,HD3025G_30W
Wed Dec 22 19:23:41 2021,-3.9,-5.5,HD3025G_30W
Wed Dec 22 19:23:43 2021,-3.8,-5.6,HD3025G_30W
Wed Dec 22 19:23:45 2021,-3.8,-5.5,HD3025G_30W
Wed Dec 22 19:23:47 2021,-3.7,-5.6,HD3025G_30W
Wed Dec 22 19:23:50 2021,-3.7,-5.6,HD3025G_30W
Wed Dec 22 19:23:52 2021,-3.6,-5.6,HD3025G_30W
Wed Dec 22 19:23:54 2021,-3.6,-5.6,HD3025G_30W
Wed Dec 22 19:23:56 2021,-3.5,-5.6,HD3025G_30W
Wed Dec 22 19:23:59 2021,-3.5,-5.6,HD3025G_30W
Wed Dec 22 19:24:02 2021,-3.5,-5.6,HD3025G_30W
Wed Dec 22 19:24:04 2021,-3.3,-5.6,HD3025G_30W
Wed Dec 22 19:24:06 2021,-3.2,-5.6,HD3025G_30W
Wed Dec 22 19:24:09 2021,-3.2,-5.6,HD3025G_30W
Wed Dec 22 19:24:11 2021,-3.1,-5.6,HD3025G_30W
Wed Dec 22 19:24:13 2021,-3.1,-5.6,HD3025G_30W
Wed Dec 22 19:24:16 2021,-3.0,-5.6,HD3025G_30W
Wed Dec 22 19:24:18 2021,-3.0,-5.6,HD3025G_30W
Wed Dec 22 19:24:20 2021,-2.9,-5.6,HD3025G_30W
Wed Dec 22 19:24:22 2021,-2.8,-5.6,HD3025G_30W
Wed Dec 22 19:24:24 2021,-2.8,-5.6,HD3025G_30W
Wed Dec 22 19:24:27 2021,-2.8,-5.6,HD3025G_30W
Wed Dec 22 19:24:29 2021,-2.7,-5.6,HD3025G_30W
Wed Dec 22 19:24:32 2021,-2.6,-5.7,HD3025G_30W
Wed Dec 22 19:24:34 2021,-2.6,-5.7,HD3025G_30W
Wed Dec 22 19:24:37 2021,-2.5,-5.7,HD3025G_30W
Wed Dec 22 19:24:39 2021,-2.4,-5.7,HD3025G_30W
Wed Dec 22 19:24:42 2021,-2.4,-5.7,HD3025G_30W
Wed Dec 22 19:24:45 2021,-2.4,-5.7,HD3025G_30W
Wed Dec 22 19:24:47 2021,-2.2,-5.7,HD3025G_30W
Wed Dec 22 19:24:50 2021,-2.1,-5.7,HD3025G_30W
Wed Dec 22 19:24:52 2021,-2.1,-5.7,HD3025G_30W
Wed Dec 22 19:24:54 2021,-2.0,-5.7,HD3025G_30W
Wed Dec 22 19:24:57 2021,-1.9,-5.7,HD3025G_30W
Wed Dec 22 19:25:00 2021,-1.9,-5.7,HD3025G_30W
Wed Dec 22 19:25:02 2021,-1.8,-5.7,HD3025G_30W
Wed Dec 22 19:25:04 2021,-1.7,-5.7,HD3025G_30W
Wed Dec 22 19:25:06 2021,-1.6,-5.7,HD3025G_30W
Wed Dec 22 19:25:09 2021,-1.6,-5.8,HD3025G_30W
Wed Dec 22 19:25:11 2021,-1.5,-5.8,HD3025G_30W
Wed Dec 22 19:25:14 2021,-1.5,-5.8,HD3025G_30W
Wed Dec 22 19:25:16 2021,-1.4,-5.8,HD3025G_30W
Wed Dec 22 19:25:18 2021,-1.3,-5.8,HD3025G_30W
Wed Dec 22 19:25:20 2021,-1.2,-5.8,HD3025G_30W
Wed Dec 22 19:25:22 2021,-1.2,-5.8,HD3025G_30W
Wed Dec 22 19:25:25 2021,-1.1,-5.8,HD3025G_30W
Wed Dec 22 19:25:27 2021,-1.0,-5.8,HD3025G_30W
Wed Dec 22 19:25:29 2021,-1.0,-5.8,HD3025G_30W
Wed Dec 22 19:25:31 2021,-0.9,-5.8,HD3025G_30W
Wed Dec 22 19:25:33 2021,-0.8,-5.8,HD3025G_30W
Wed Dec 22 19:25:36 2021,-0.8,-5.8,HD3025G_30W
Wed Dec 22 19:25:39 2021,-0.8,-5.8,HD3025G_30W
Wed Dec 22 19:25:41 2021,-0.7,-5.8,HD3025G_30W
Wed Dec 22 19:25:43 2021,-0.6,-5.8,HD3025G_30W
Wed Dec 22 19:25:45 2021,-0.5,-5.8,HD3025G_30W
Wed Dec 22 19:25:48 2021,-0.5,-5.8,HD3025G_30W
Wed Dec 22 19:25:50 2021,-0.4,-5.8,HD3025G_30W
Wed Dec 22 19:25:53 2021,-0.3,-5.8,HD3025G_30W
Wed Dec 22 19:25:55 2021,-0.2,-5.8,HD3025G_30W
Wed Dec 22 19:25:57 2021,-0.2,-5.8,HD3025G_30W
Wed Dec 22 19:26:00 2021,-0.2,-5.8,HD3025G_30W
Wed Dec 22 19:26:02 2021,0.0,-5.8,HD3025G_30W
Wed Dec 22 19:26:05 2021,0.1,-5.8,HD3025G_30W
Wed Dec 22 19:26:07 2021,0.1,-5.8,HD3025G_30W
Wed Dec 22 19:26:10 2021,0.1,-5.8,HD3025G_30W
Wed Dec 22 19:26:12 2021,0.3,-5.8,HD3025G_30W
Wed Dec 22 19:26:14 2021,0.4,-5.8,HD3025G_30W
Wed Dec 22 19:26:18 2021,0.4,-5.8,HD3025G_30W
Wed Dec 22 19:26:21 2021,0.4,-5.8,HD3025G_30W
Wed Dec 22 19:26:23 2021,0.6,-5.8,HD3025G_30W
Wed Dec 22 19:26:25 2021,0.7,-5.8,HD3025G_30W
Wed Dec 22 19:26:27 2021,0.7,-5.8,HD3025G_30W
Wed Dec 22 19:26:30 2021,0.8,-5.8,HD3025G_30W
Wed Dec 22 19:26:32 2021,0.9,-5.8,HD3025G_30W
Wed Dec 22 19:26:34 2021,0.9,-5.8,HD3025G_30W
Wed Dec 22 19:26:36 2021,1.0,-5.8,HD3025G_30W
Wed Dec 22 19:26:39 2021,1.1,-5.8,HD3025G_30W
Wed Dec 22 19:26:41 2021,1.1,-5.8,HD3025G_30W
Wed Dec 22 19:26:43 2021,1.2,-5.8,HD3025G_30W
Wed Dec 22 19:26:46 2021,1.3,-5.8,HD3025G_30W
Wed Dec 22 19:26:49 2021,1.3,-5.8,HD3025G_30W
Wed Dec 22 19:26:51 2021,1.4,-5.8,HD3025G_30W
Wed Dec 22 19:26:53 2021,1.5,-5.8,HD3025G_30W
Wed Dec 22 19:26:56 2021,1.5,-5.8,HD3025G_30W
Wed Dec 22 19:26:59 2021,1.6,-5.8,HD3025G_30W
Wed Dec 22 19:27:01 2021,1.7,-5.8,HD3025G_30W
Wed Dec 22 19:27:04 2021,1.7,-5.8,HD3025G_30W
Wed Dec 22 19:27:06 2021,1.9,-5.8,HD3025G_30W
Wed Dec 22 19:27:08 2021,1.9,-5.8,HD3025G_30W
Wed Dec 22 19:27:10 2021,2.0,-5.8,HD3025G_30W
Wed Dec 22 19:27:12 2021,2.1,-5.9,HD3025G_30W
Wed Dec 22 19:27:15 2021,2.2,-5.9,HD3025G_30W
Wed Dec 22 19:27:17 2021,2.2,-5.8,HD3025G_30W
Wed Dec 22 19:27:20 2021,2.2,-5.9,HD3025G_30W
Wed Dec 22 19:27:22 2021,2.3,-5.9,HD3025G_30W
Wed Dec 22 19:27:24 2021,2.4,-5.9,HD3025G_30W
Wed Dec 22 19:27:26 2021,2.5,-5.9,HD3025G_30W
Wed Dec 22 19:27:29 2021,2.5,-5.9,HD3025G_30W
Wed Dec 22 19:27:32 2021,2.6,-5.9,HD3025G_30W
Wed Dec 22 19:27:34 2021,2.7,-5.9,HD3025G_30W
Wed Dec 22 19:27:36 2021,2.8,-5.9,HD3025G_30W
Wed Dec 22 19:27:38 2021,2.8,-5.9,HD3025G_30W
Wed Dec 22 19:27:40 2021,2.9,-5.9,HD3025G_30W
Wed Dec 22 19:27:43 2021,2.9,-5.9,HD3025G_30W
Wed Dec 22 19:27:45 2021,3.0,-5.9,HD3025G_30W
Wed Dec 22 19:27:48 2021,3.0,-5.9,HD3025G_30W
Wed Dec 22 19:27:50 2021,3.1,-5.9,HD3025G_30W
Wed Dec 22 19:27:52 2021,3.2,-5.9,HD3025G_30W
Wed Dec 22 19:27:54 2021,3.3,-5.9,HD3025G_30W
Wed Dec 22 19:27:56 2021,3.3,-5.9,HD3025G_30W
Wed Dec 22 19:27:59 2021,3.4,-5.9,HD3025G_30W
Wed Dec 22 19:28:01 2021,3.5,-5.9,HD3025G_30W
Wed Dec 22 19:28:03 2021,3.5,-5.9,HD3025G_30W
Wed Dec 22 19:28:06 2021,3.6,-5.9,HD3025G_30W
Wed Dec 22 19:28:08 2021,3.7,-5.9,HD3025G_30W
Wed Dec 22 19:28:10 2021,3.7,-5.9,HD3025G_30W
Wed Dec 22 19:28:12 2021,3.8,-5.9,HD3025G_30W
Wed Dec 22 19:28:14 2021,3.8,-5.9,HD3025G_30W
Wed Dec 22 19:28:17 2021,3.9,-5.9,HD3025G_30W
Wed Dec 22 19:28:19 2021,4.0,-5.9,HD3025G_30W
Wed Dec 22 19:28:21 2021,4.0,-5.9,HD3025G_30W
Wed Dec 22 19:28:23 2021,4.1,-5.9,HD3025G_30W
Wed Dec 22 19:28:26 2021,4.1,-5.9,HD3025G_30W
Wed Dec 22 19:28:29 2021,4.1,-5.9,HD3025G_30W
Wed Dec 22 19:28:31 2021,4.3,-5.9,HD3025G_30W
Wed Dec 22 19:28:33 2021,4.4,-5.9,HD3025G_30W
Wed Dec 22 19:28:36 2021,4.4,-5.9,HD3025G_30W
Wed Dec 22 19:28:38 2021,4.5,-5.9,HD3025G_30W
Wed Dec 22 19:28:40 2021,4.5,-5.9,HD3025G_30W
Wed Dec 22 19:28:42 2021,4.6,-6.0,HD3025G_30W
Wed Dec 22 19:28:45 2021,4.7,-5.9,HD3025G_30W
Wed Dec 22 19:28:47 2021,4.8,-6.0,HD3025G_30W
Wed Dec 22 19:28:49 2021,4.8,-5.9,HD3025G_30W
Wed Dec 22 19:28:51 2021,4.8,-5.9,HD3025G_30W
Wed Dec 22 19:28:53 2021,4.9,-5.9,HD3025G_30W
Wed Dec 22 19:28:56 2021,5.0,-5.9,HD3025G_30W
Wed Dec 22 19:28:58 2021,5.0,-6.0,HD3025G_30W
Wed Dec 22 19:29:00 2021,5.1,-6.0,HD3025G_30W
Wed Dec 22 19:29:02 2021,5.1,-6.0,HD3025G_30W
Wed Dec 22 19:29:05 2021,5.2,-6.0,HD3025G_30W
Wed Dec 22 19:29:07 2021,5.3,-6.0,HD3025G_30W
