TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr  3 00:43:22 2022,15.8,14.7,True,True
Sun Apr  3 00:43:52 2022,15.8,14.7,True,True
Sun Apr  3 00:44:22 2022,15.8,14.8,True,True
Sun Apr  3 00:44:52 2022,15.8,14.8,True,True
Sun Apr  3 00:45:22 2022,15.9,14.8,True,True
Sun Apr  3 00:45:52 2022,15.9,14.9,True,True
Sun Apr  3 00:46:22 2022,15.9,14.9,True,True
Sun Apr  3 00:46:52 2022,15.9,15.0,True,True
Sun Apr  3 00:47:22 2022,15.9,15.0,True,True
Sun Apr  3 00:47:52 2022,16.0,15.1,True,True
Sun Apr  3 00:48:22 2022,16.0,15.1,True,True
Sun Apr  3 00:48:52 2022,16.0,15.2,True,True
Sun Apr  3 00:49:22 2022,16.0,15.2,True,True
Sun Apr  3 00:49:52 2022,16.1,15.2,True,True
Sun Apr  3 00:50:22 2022,16.1,15.3,True,True
Sun Apr  3 00:50:52 2022,16.1,15.3,True,True
Sun Apr  3 00:51:22 2022,16.1,15.4,True,True
Sun Apr  3 00:51:52 2022,16.2,15.4,True,True
Sun Apr  3 00:52:22 2022,16.2,15.4,True,True
Sun Apr  3 00:52:52 2022,16.2,15.5,True,True
Sun Apr  3 00:53:22 2022,16.3,15.5,True,True
Sun Apr  3 00:53:52 2022,16.3,15.6,False,True
Sun Apr  3 00:54:22 2022,16.3,15.6,False,True
Sun Apr  3 00:54:52 2022,16.3,15.6,False,True
Sun Apr  3 00:55:22 2022,16.3,15.7,False,True
Sun Apr  3 00:55:52 2022,16.4,15.7,False,True
Sun Apr  3 00:56:22 2022,16.4,15.8,False,True
Sun Apr  3 00:56:52 2022,16.4,15.8,False,True
Sun Apr  3 00:57:22 2022,16.4,15.8,False,True
Sun Apr  3 00:57:52 2022,16.4,15.8,False,True
Sun Apr  3 00:58:22 2022,16.5,15.8,False,True
Sun Apr  3 00:58:52 2022,16.5,15.9,False,True
Sun Apr  3 00:59:22 2022,16.5,15.8,False,True
Sun Apr  3 00:59:52 2022,16.5,15.8,False,True
Sun Apr  3 01:00:22 2022,16.5,15.8,False,True
Sun Apr  3 01:00:52 2022,16.6,15.7,False,True
Sun Apr  3 01:01:22 2022,16.6,15.7,False,True
Sun Apr  3 01:01:52 2022,16.6,15.7,False,True
Sun Apr  3 01:02:22 2022,16.7,15.6,False,True
Sun Apr  3 01:02:52 2022,16.7,15.6,False,True
Sun Apr  3 01:03:22 2022,16.7,15.5,False,True
Sun Apr  3 01:03:52 2022,16.7,15.5,False,True
Sun Apr  3 01:04:22 2022,16.7,15.4,False,True
Sun Apr  3 01:04:52 2022,16.8,15.4,False,True
Sun Apr  3 01:05:22 2022,16.8,15.3,False,True
Sun Apr  3 01:05:52 2022,16.8,15.2,False,True
Sun Apr  3 01:06:22 2022,16.8,15.2,False,True
Sun Apr  3 01:06:52 2022,16.8,15.1,False,True
Sun Apr  3 01:07:22 2022,16.9,15.0,False,True
Sun Apr  3 01:07:52 2022,16.9,15.0,False,True
Sun Apr  3 01:08:22 2022,16.9,14.9,False,True
Sun Apr  3 01:08:52 2022,16.9,14.8,False,True
