TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr  3 02:28:52 2022,17.0,15.3,False,True
Sun Apr  3 02:29:22 2022,17.1,15.2,False,True
Sun Apr  3 02:29:52 2022,17.0,15.2,False,True
Sun Apr  3 02:30:22 2022,17.1,15.1,False,True
Sun Apr  3 02:30:52 2022,17.1,15.1,False,True
Sun Apr  3 02:31:22 2022,17.1,15.0,False,True
Sun Apr  3 02:31:52 2022,17.2,15.0,False,True
Sun Apr  3 02:32:22 2022,17.2,14.9,False,True
Sun Apr  3 02:32:52 2022,17.2,14.8,False,True
Sun Apr  3 02:33:22 2022,17.2,14.8,False,True
Sun Apr  3 02:33:52 2022,17.3,14.8,False,True
Sun Apr  3 02:34:22 2022,17.3,14.7,False,True
Sun Apr  3 02:34:52 2022,17.3,14.6,False,True
Sun Apr  3 02:35:22 2022,17.3,14.6,False,True
Sun Apr  3 02:35:52 2022,17.3,14.6,False,True
Sun Apr  3 02:36:22 2022,17.4,14.5,False,True
Sun Apr  3 02:36:52 2022,17.4,14.4,True,True
Sun Apr  3 02:37:22 2022,17.4,14.4,True,True
Sun Apr  3 02:37:52 2022,17.5,14.4,True,True
Sun Apr  3 02:38:22 2022,17.5,14.3,True,True
Sun Apr  3 02:38:52 2022,17.5,14.3,True,True
Sun Apr  3 02:39:22 2022,17.5,14.2,True,True
Sun Apr  3 02:39:52 2022,17.5,14.2,True,True
Sun Apr  3 02:40:22 2022,17.5,14.2,True,True
Sun Apr  3 02:40:52 2022,17.6,14.2,True,True
Sun Apr  3 02:41:22 2022,17.6,14.2,True,True
Sun Apr  3 02:41:52 2022,17.6,14.2,True,True
Sun Apr  3 02:42:22 2022,17.7,14.2,True,True
Sun Apr  3 02:42:52 2022,17.7,14.2,True,True
Sun Apr  3 02:43:22 2022,17.7,14.2,True,True
Sun Apr  3 02:43:52 2022,17.7,14.3,True,True
Sun Apr  3 02:44:22 2022,17.7,14.3,True,True
Sun Apr  3 02:44:52 2022,17.7,14.3,True,True
Sun Apr  3 02:45:22 2022,17.7,14.3,True,True
Sun Apr  3 02:45:52 2022,17.8,14.4,True,True
Sun Apr  3 02:46:22 2022,17.8,14.4,True,True
Sun Apr  3 02:46:52 2022,17.8,14.5,True,True
Sun Apr  3 02:47:22 2022,17.8,14.5,True,True
Sun Apr  3 02:47:52 2022,17.9,14.6,True,True
Sun Apr  3 02:48:22 2022,17.9,14.6,True,True
Sun Apr  3 02:48:52 2022,17.9,14.7,True,True
Sun Apr  3 02:49:22 2022,17.9,14.8,True,True
Sun Apr  3 02:49:52 2022,17.9,14.8,True,True
Sun Apr  3 02:50:22 2022,17.9,14.9,True,True
Sun Apr  3 02:50:52 2022,18.0,14.9,True,True
Sun Apr  3 02:51:22 2022,18.0,15.0,True,True
Sun Apr  3 02:51:52 2022,18.0,15.1,True,True
Sun Apr  3 02:52:22 2022,18.0,15.2,True,True
Sun Apr  3 02:52:52 2022,18.0,15.2,True,True
Sun Apr  3 02:53:22 2022,18.0,15.2,True,True
Sun Apr  3 02:53:52 2022,18.1,15.4,True,True
Sun Apr  3 02:54:22 2022,18.1,15.4,True,True
Sun Apr  3 02:54:52 2022,18.1,15.5,True,True
Sun Apr  3 02:55:22 2022,18.1,15.5,True,True
Sun Apr  3 02:55:52 2022,18.1,15.6,False,True
Sun Apr  3 02:56:22 2022,18.1,15.6,False,True
Sun Apr  3 02:56:52 2022,18.1,15.7,False,True
Sun Apr  3 02:57:22 2022,18.1,15.7,False,True
Sun Apr  3 02:57:52 2022,18.2,15.8,False,True
Sun Apr  3 02:58:22 2022,18.2,15.9,False,True
Sun Apr  3 02:58:52 2022,18.2,15.9,False,True
Sun Apr  3 02:59:22 2022,18.2,15.9,False,True
Sun Apr  3 02:59:52 2022,18.2,16.0,False,True
Sun Apr  3 03:00:22 2022,18.3,16.0,False,True
Sun Apr  3 03:00:52 2022,18.2,16.0,False,True
Sun Apr  3 03:01:22 2022,18.3,16.0,False,True
Sun Apr  3 03:01:52 2022,18.3,16.0,False,True
Sun Apr  3 03:02:22 2022,18.3,16.0,False,True
Sun Apr  3 03:02:52 2022,18.3,15.9,False,True
Sun Apr  3 03:03:22 2022,18.4,15.9,False,True
Sun Apr  3 03:03:52 2022,18.4,15.9,False,True
Sun Apr  3 03:04:22 2022,18.4,15.9,False,True
Sun Apr  3 03:04:52 2022,18.4,15.8,False,True
Sun Apr  3 03:05:22 2022,18.4,15.8,False,True
Sun Apr  3 03:05:52 2022,18.4,15.7,False,True
Sun Apr  3 03:06:22 2022,18.4,15.7,False,True
Sun Apr  3 03:06:52 2022,18.5,15.7,False,True
Sun Apr  3 03:07:22 2022,18.5,15.6,False,True
Sun Apr  3 03:07:52 2022,18.4,15.6,False,True
Sun Apr  3 03:08:22 2022,18.5,15.5,False,True
Sun Apr  3 03:08:52 2022,18.5,15.4,False,True
Sun Apr  3 03:09:22 2022,18.5,15.4,False,True
Sun Apr  3 03:09:52 2022,18.5,15.3,False,True
Sun Apr  3 03:10:22 2022,18.5,15.3,False,True
Sun Apr  3 03:10:52 2022,18.5,15.2,False,True
Sun Apr  3 03:11:22 2022,18.6,15.2,False,False
Sun Apr  3 03:11:52 2022,18.6,15.1,False,False
Sun Apr  3 03:12:22 2022,18.6,15.1,False,False
Sun Apr  3 03:12:52 2022,18.6,15.0,False,False
Sun Apr  3 03:13:22 2022,18.6,14.9,False,False
Sun Apr  3 03:13:52 2022,18.6,14.9,False,False
Sun Apr  3 03:14:22 2022,18.6,14.8,False,False
