TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr 16 18:33:53 2022,12.2,20.8,True,False
Sat Apr 16 18:34:23 2022,12.1,20.8,True,False
Sat Apr 16 18:34:53 2022,12.1,20.9,True,False
Sat Apr 16 18:35:23 2022,12.2,20.9,True,False
Sat Apr 16 18:35:53 2022,12.1,20.9,True,False
Sat Apr 16 18:36:23 2022,12.1,21.0,True,False
Sat Apr 16 18:36:53 2022,12.1,21.0,True,False
Sat Apr 16 18:37:23 2022,12.1,21.1,True,False
Sat Apr 16 18:37:53 2022,12.1,21.1,True,False
Sat Apr 16 18:38:23 2022,12.1,21.2,True,False
Sat Apr 16 18:38:53 2022,12.2,21.2,True,False
Sat Apr 16 18:39:23 2022,12.1,21.2,True,False
Sat Apr 16 18:39:53 2022,12.2,21.3,True,False
Sat Apr 16 18:40:23 2022,12.1,21.3,True,False
Sat Apr 16 18:40:53 2022,12.1,21.4,True,False
Sat Apr 16 18:41:23 2022,12.1,21.4,True,False
Sat Apr 16 18:41:53 2022,12.2,21.5,True,False
Sat Apr 16 18:42:23 2022,12.2,21.5,True,False
Sat Apr 16 18:42:53 2022,12.2,21.5,True,False
Sat Apr 16 18:43:23 2022,12.2,21.5,True,False
Sat Apr 16 18:43:53 2022,12.2,21.6,True,False
Sat Apr 16 18:44:23 2022,12.2,21.7,True,False
Sat Apr 16 18:44:53 2022,12.1,21.7,True,False
Sat Apr 16 18:45:23 2022,12.1,21.8,True,False
Sat Apr 16 18:45:53 2022,12.1,21.8,True,False
Sat Apr 16 18:46:23 2022,12.1,21.9,True,False
Sat Apr 16 18:46:53 2022,12.1,21.9,True,False
Sat Apr 16 18:47:23 2022,12.1,21.9,True,False
Sat Apr 16 18:47:53 2022,12.1,21.9,True,False
Sat Apr 16 18:48:23 2022,12.1,22.0,True,False
Sat Apr 16 18:48:53 2022,12.1,22.0,True,False
Sat Apr 16 18:49:23 2022,12.1,22.1,True,False
Sat Apr 16 18:49:53 2022,12.1,22.1,True,False
Sat Apr 16 18:50:23 2022,12.0,22.2,True,False
Sat Apr 16 18:50:53 2022,12.0,22.2,True,False
Sat Apr 16 18:51:23 2022,12.0,22.2,True,False
Sat Apr 16 18:51:53 2022,12.0,22.3,True,False
Sat Apr 16 18:52:23 2022,12.0,22.3,True,False
Sat Apr 16 18:52:53 2022,11.9,22.4,True,False
Sat Apr 16 18:53:23 2022,12.0,22.4,True,False
Sat Apr 16 18:53:53 2022,12.0,22.5,True,False
Sat Apr 16 18:54:23 2022,12.0,22.5,True,False
Sat Apr 16 18:54:53 2022,12.0,22.5,True,False
Sat Apr 16 18:55:23 2022,12.0,22.5,True,False
Sat Apr 16 18:55:53 2022,12.0,22.6,True,False
Sat Apr 16 18:56:23 2022,12.0,22.6,True,False
