time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 18:07:36 2021,-2.7,-3.4,HD3025G_20W
Wed Dec 22 18:07:38 2021,-2.7,-3.5,HD3025G_20W
Wed Dec 22 18:07:41 2021,-2.7,-3.5,HD3025G_20W
Wed Dec 22 18:07:44 2021,-2.6,-3.5,HD3025G_20W
Wed Dec 22 18:07:46 2021,-2.6,-3.5,HD3025G_20W
Wed Dec 22 18:07:48 2021,-2.5,-3.4,HD3025G_20W
Wed Dec 22 18:07:50 2021,-2.5,-3.4,HD3025G_20W
Wed Dec 22 18:07:53 2021,-2.5,-3.5,HD3025G_20W
Wed Dec 22 18:07:55 2021,-2.4,-3.5,HD3025G_20W
Wed Dec 22 18:07:57 2021,-2.4,-3.5,HD3025G_20W
Wed Dec 22 18:08:00 2021,-2.4,-3.5,HD3025G_20W
Wed Dec 22 18:08:02 2021,-2.3,-3.5,HD3025G_20W
Wed Dec 22 18:08:04 2021,-2.3,-3.5,HD3025G_20W
Wed Dec 22 18:08:06 2021,-2.2,-3.5,HD3025G_20W
Wed Dec 22 18:08:08 2021,-2.2,-3.5,HD3025G_20W
Wed Dec 22 18:08:11 2021,-2.2,-3.5,HD3025G_20W
Wed Dec 22 18:08:13 2021,-2.1,-3.5,HD3025G_20W
Wed Dec 22 18:08:15 2021,-2.1,-3.5,HD3025G_20W
Wed Dec 22 18:08:17 2021,-2.1,-3.5,HD3025G_20W
Wed Dec 22 18:08:19 2021,-2.0,-3.5,HD3025G_20W
Wed Dec 22 18:08:22 2021,-2.0,-3.5,HD3025G_20W
Wed Dec 22 18:08:24 2021,-2.0,-3.5,HD3025G_20W
Wed Dec 22 18:08:26 2021,-1.9,-3.5,HD3025G_20W
Wed Dec 22 18:08:28 2021,-1.9,-3.5,HD3025G_20W
Wed Dec 22 18:08:30 2021,-1.9,-3.5,HD3025G_20W
Wed Dec 22 18:08:33 2021,-1.8,-3.5,HD3025G_20W
Wed Dec 22 18:08:35 2021,-1.8,-3.5,HD3025G_20W
Wed Dec 22 18:08:38 2021,-1.8,-3.5,HD3025G_20W
Wed Dec 22 18:08:40 2021,-1.7,-3.5,HD3025G_20W
Wed Dec 22 18:08:42 2021,-1.7,-3.5,HD3025G_20W
Wed Dec 22 18:08:45 2021,-1.7,-3.5,HD3025G_20W
Wed Dec 22 18:08:47 2021,-1.6,-3.5,HD3025G_20W
Wed Dec 22 18:08:50 2021,-1.5,-3.5,HD3025G_20W
Wed Dec 22 18:08:52 2021,-1.5,-3.5,HD3025G_20W
Wed Dec 22 18:08:54 2021,-1.5,-3.5,HD3025G_20W
Wed Dec 22 18:08:56 2021,-1.4,-3.5,HD3025G_20W
Wed Dec 22 18:08:58 2021,-1.4,-3.5,HD3025G_20W
Wed Dec 22 18:09:01 2021,-1.4,-3.5,HD3025G_20W
Wed Dec 22 18:09:04 2021,-1.4,-3.5,HD3025G_20W
Wed Dec 22 18:09:06 2021,-1.3,-3.5,HD3025G_20W
Wed Dec 22 18:09:08 2021,-1.2,-3.5,HD3025G_20W
Wed Dec 22 18:09:10 2021,-1.2,-3.5,HD3025G_20W
Wed Dec 22 18:09:13 2021,-1.2,-3.5,HD3025G_20W
Wed Dec 22 18:09:15 2021,-1.1,-3.5,HD3025G_20W
Wed Dec 22 18:09:17 2021,-1.1,-3.5,HD3025G_20W
Wed Dec 22 18:09:19 2021,-1.0,-3.5,HD3025G_20W
Wed Dec 22 18:09:21 2021,-1.0,-3.5,HD3025G_20W
Wed Dec 22 18:09:24 2021,-1.0,-3.5,HD3025G_20W
Wed Dec 22 18:09:26 2021,-0.9,-3.5,HD3025G_20W
Wed Dec 22 18:09:29 2021,-0.9,-3.5,HD3025G_20W
Wed Dec 22 18:09:31 2021,-0.9,-3.5,HD3025G_20W
Wed Dec 22 18:09:34 2021,-0.9,-3.5,HD3025G_20W
Wed Dec 22 18:09:36 2021,-0.8,-3.5,HD3025G_20W
Wed Dec 22 18:09:39 2021,-0.8,-3.5,HD3025G_20W
Wed Dec 22 18:09:41 2021,-0.7,-3.5,HD3025G_20W
Wed Dec 22 18:09:43 2021,-0.7,-3.5,HD3025G_20W
Wed Dec 22 18:09:46 2021,-0.6,-3.5,HD3025G_20W
Wed Dec 22 18:09:48 2021,-0.6,-3.5,HD3025G_20W
Wed Dec 22 18:09:50 2021,-0.6,-3.5,HD3025G_20W
Wed Dec 22 18:09:52 2021,-0.5,-3.5,HD3025G_20W
Wed Dec 22 18:09:54 2021,-0.5,-3.5,HD3025G_20W
Wed Dec 22 18:09:57 2021,-0.5,-3.5,HD3025G_20W
Wed Dec 22 18:09:59 2021,-0.4,-3.5,HD3025G_20W
Wed Dec 22 18:10:01 2021,-0.4,-3.5,HD3025G_20W
Wed Dec 22 18:10:04 2021,-0.4,-3.5,HD3025G_20W
Wed Dec 22 18:10:07 2021,-0.3,-3.5,HD3025G_20W
Wed Dec 22 18:10:09 2021,-0.2,-3.5,HD3025G_20W
Wed Dec 22 18:10:11 2021,-0.2,-3.5,HD3025G_20W
Wed Dec 22 18:10:14 2021,-0.2,-3.5,HD3025G_20W
Wed Dec 22 18:10:17 2021,-0.2,-3.5,HD3025G_20W
Wed Dec 22 18:10:19 2021,-0.1,-3.5,HD3025G_20W
Wed Dec 22 18:10:21 2021,0.0,-3.5,HD3025G_20W
Wed Dec 22 18:10:23 2021,0.0,-3.5,HD3025G_20W
Wed Dec 22 18:10:26 2021,0.0,-3.5,HD3025G_20W
Wed Dec 22 18:10:28 2021,0.1,-3.5,HD3025G_20W
Wed Dec 22 18:10:30 2021,0.1,-3.5,HD3025G_20W
Wed Dec 22 18:10:32 2021,0.1,-3.5,HD3025G_20W
Wed Dec 22 18:10:35 2021,0.1,-3.5,HD3025G_20W
Wed Dec 22 18:10:37 2021,0.2,-3.5,HD3025G_20W
Wed Dec 22 18:10:39 2021,0.3,-3.6,HD3025G_20W
Wed Dec 22 18:10:42 2021,0.3,-3.5,HD3025G_20W
Wed Dec 22 18:10:44 2021,0.3,-3.5,HD3025G_20W
Wed Dec 22 18:10:46 2021,0.3,-3.6,HD3025G_20W
Wed Dec 22 18:10:48 2021,0.4,-3.5,HD3025G_20W
Wed Dec 22 18:10:50 2021,0.4,-3.6,HD3025G_20W
Wed Dec 22 18:10:53 2021,0.4,-3.5,HD3025G_20W
Wed Dec 22 18:10:55 2021,0.5,-3.5,HD3025G_20W
Wed Dec 22 18:10:57 2021,0.5,-3.5,HD3025G_20W
Wed Dec 22 18:11:00 2021,0.5,-3.5,HD3025G_20W
Wed Dec 22 18:11:02 2021,0.5,-3.6,HD3025G_20W
Wed Dec 22 18:11:05 2021,0.6,-3.6,HD3025G_20W
Wed Dec 22 18:11:07 2021,0.6,-3.6,HD3025G_20W
Wed Dec 22 18:11:09 2021,0.7,-3.6,HD3025G_20W
Wed Dec 22 18:11:12 2021,0.7,-3.6,HD3025G_20W
Wed Dec 22 18:11:14 2021,0.8,-3.6,HD3025G_20W
Wed Dec 22 18:11:16 2021,0.8,-3.6,HD3025G_20W
Wed Dec 22 18:11:18 2021,0.9,-3.6,HD3025G_20W
Wed Dec 22 18:11:21 2021,0.8,-3.6,HD3025G_20W
Wed Dec 22 18:11:23 2021,0.9,-3.6,HD3025G_20W
Wed Dec 22 18:11:25 2021,0.9,-3.6,HD3025G_20W
Wed Dec 22 18:11:27 2021,0.9,-3.6,HD3025G_20W
Wed Dec 22 18:11:29 2021,1.0,-3.6,HD3025G_20W
Wed Dec 22 18:11:32 2021,1.0,-3.6,HD3025G_20W
Wed Dec 22 18:11:34 2021,1.0,-3.6,HD3025G_20W
Wed Dec 22 18:11:36 2021,1.1,-3.6,HD3025G_20W
Wed Dec 22 18:11:39 2021,1.1,-3.6,HD3025G_20W
Wed Dec 22 18:11:41 2021,1.1,-3.6,HD3025G_20W
Wed Dec 22 18:11:43 2021,1.2,-3.6,HD3025G_20W
Wed Dec 22 18:11:45 2021,1.2,-3.6,HD3025G_20W
Wed Dec 22 18:11:47 2021,1.2,-3.6,HD3025G_20W
Wed Dec 22 18:11:50 2021,1.3,-3.6,HD3025G_20W
Wed Dec 22 18:11:52 2021,1.3,-3.6,HD3025G_20W
Wed Dec 22 18:11:54 2021,1.3,-3.6,HD3025G_20W
Wed Dec 22 18:11:56 2021,1.3,-3.6,HD3025G_20W
Wed Dec 22 18:11:59 2021,1.4,-3.6,HD3025G_20W
Wed Dec 22 18:12:01 2021,1.4,-3.6,HD3025G_20W
Wed Dec 22 18:12:03 2021,1.4,-3.6,HD3025G_20W
Wed Dec 22 18:12:05 2021,1.5,-3.6,HD3025G_20W
Wed Dec 22 18:12:07 2021,1.5,-3.6,HD3025G_20W
Wed Dec 22 18:12:10 2021,1.5,-3.6,HD3025G_20W
Wed Dec 22 18:12:12 2021,1.5,-3.6,HD3025G_20W
Wed Dec 22 18:12:15 2021,1.5,-3.6,HD3025G_20W
Wed Dec 22 18:12:17 2021,1.6,-3.6,HD3025G_20W
Wed Dec 22 18:12:19 2021,1.6,-3.6,HD3025G_20W
Wed Dec 22 18:12:22 2021,1.6,-3.6,HD3025G_20W
Wed Dec 22 18:12:24 2021,1.7,-3.6,HD3025G_20W
Wed Dec 22 18:12:26 2021,1.8,-3.6,HD3025G_20W
Wed Dec 22 18:12:29 2021,1.8,-3.6,HD3025G_20W
Wed Dec 22 18:12:31 2021,1.8,-3.6,HD3025G_20W
Wed Dec 22 18:12:33 2021,1.8,-3.6,HD3025G_20W
Wed Dec 22 18:12:35 2021,1.9,-3.6,HD3025G_20W
Wed Dec 22 18:12:38 2021,1.9,-3.6,HD3025G_20W
Wed Dec 22 18:12:40 2021,1.9,-3.7,HD3025G_20W
Wed Dec 22 18:12:42 2021,1.9,-3.6,HD3025G_20W
Wed Dec 22 18:12:45 2021,2.0,-3.7,HD3025G_20W
Wed Dec 22 18:12:47 2021,2.0,-3.7,HD3025G_20W
Wed Dec 22 18:12:49 2021,2.0,-3.7,HD3025G_20W
Wed Dec 22 18:12:51 2021,2.1,-3.7,HD3025G_20W
Wed Dec 22 18:12:53 2021,2.1,-3.7,HD3025G_20W
Wed Dec 22 18:12:56 2021,2.1,-3.7,HD3025G_20W
Wed Dec 22 18:12:58 2021,2.1,-3.7,HD3025G_20W
Wed Dec 22 18:13:01 2021,2.1,-3.7,HD3025G_20W
Wed Dec 22 18:13:03 2021,2.2,-3.7,HD3025G_20W
Wed Dec 22 18:13:05 2021,2.2,-3.7,HD3025G_20W
Wed Dec 22 18:13:07 2021,2.2,-3.7,HD3025G_20W
Wed Dec 22 18:13:09 2021,2.2,-3.7,HD3025G_20W
Wed Dec 22 18:13:12 2021,2.3,-3.7,HD3025G_20W
